SENSORIMOTOR_SOURCE_DOMAIN;TYPE;SuperordinateSchema;TARGET_DOMAIN;CONCEPTUAL_METAPHOR;Language;LinguisticExamples;English;[SOURCE]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;shang yi ge li-bai (上一个礼拜);next week;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;xia  yi ge li-bai (下一个礼拜);last week;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;shang yi miao  (上一秒);last second;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;xia  yi miao (下一秒);next second;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;shang ge yue (上个月);last month;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;xia ge yue (下个月);next month;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;shang yi nian(上一年);last year;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;xia yi nian (下一年);next year;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;shang shi ji (上世纪);last century;[Lai & Boroditsky, 2013]
UP-DOWN ;IMAGE_SCHEMA;VERTICALITY;Time;TIME IS A VERTICAL OBJECT;zh;xia ge shi ji (下个世纪);next century;[Lai & Boroditsky, 2013]
FRONT-BACK;SPATIAL_PRIMITIVE;PATH;Time;"FUTURE IS BEHIND; PAST IS IN FRONT";zh;qian-tian(前天);the day before yestarday;[Lai & Boroditsky, 2013]
FRONT-BACK;SPATIAL_PRIMITIVE;PATH;Time;"FUTURE IS BEHIND; PAST IS IN FRONT";zh;hou-tian(后天);the day after tomorrow;[Lai & Boroditsky, 2013]
FRONT-BACK;SPATIAL_PRIMITIVE;PATH;Time;"FUTURE IS BEHIND; PAST IS IN FRONT";zh;qian-nian(前年);the year before last year;[Lai & Boroditsky, 2013]
FRONT-BACK;SPATIAL_PRIMITIVE;PATH;Time;"FUTURE IS BEHIND; PAST IS IN FRONT";zh;hou-nian(后年);the year after the next year;[Lai & Boroditsky, 2013]
FRONT-BACK;SPATIAL_PRIMITIVE;PATH;Time;"FUTURE IS BEHIND; PAST IS IN FRONT";zh;xia zhou san de hui-yi yao wang qian nuo liang-tian (下周三的会议要往前挪两天);Next Wednesday's meeting has been moved forward two days.;[Lai & Boroditsky, 2013]
FRONT-BACK;SPATIAL_PRIMITIVE;PATH;Time;"FUTURE IS BEHIND; PAST IS IN FRONT";zh;qing ni ba shi-zhong wang qian tiao yi-ge xiao-shi (请你把时钟往前调一个小时);Please move the clock one hour forward.;[Lai & Boroditsky, 2013]
OBJECT;SPATIAL_PRIMITIVE;BASIC;Time;TIME IS A MOVING OBJECT;zh;qi-mo-kao kuai dao le (期末考快到了);The finals are fast approaching.;[Lai & Boroditsky, 2013]
